Algorithm,Best Optimal Value,Time,"AGV(start,goal)",fit_agv,Route
SAO,83,122.42684219987132,"[0, 361]",38,"[0, 18, 36, 52, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 107, 126, 142, 143, 162, 180, 200, 219, 232, 250, 270, 288, 307, 326, 343, 361]"
SAO,83,122.42684219987132,"[348, 35]",33,"[348, 349, 331, 313, 293, 294, 295, 296, 297, 298, 299, 300, 301, 302, 303, 304, 305, 286, 268, 248, 230, 217, 198, 178, 161, 141, 125, 106, 88, 68, 49, 33, 34, 35]"
SAO,83,122.42684219987132,"[100, 280]",12,"[100, 99, 118, 135, 153, 171, 190, 209, 223, 241, 260, 279, 280]"
COA,83,121.67204269999638,"[0, 361]",38,"[0, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 45, 62, 63, 64, 65, 66, 67, 68, 69, 89, 107, 126, 142, 143, 162, 180, 200, 219, 232, 250, 270, 288, 307, 326, 343, 361]"
COA,83,121.67204269999638,"[348, 35]",33,"[348, 349, 350, 351, 352, 332, 333, 334, 335, 336, 337, 338, 339, 340, 341, 325, 305, 286, 268, 248, 230, 217, 198, 178, 161, 141, 125, 106, 88, 68, 49, 33, 34, 35]"
COA,83,121.67204269999638,"[100, 280]",12,"[100, 99, 118, 135, 153, 154, 172, 191, 210, 224, 242, 261, 280]"
HBA,83,125.63032370014116,"[0, 361]",38,"[0, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 45, 62, 82, 101, 120, 136, 155, 173, 192, 193, 194, 195, 196, 197, 198, 199, 200, 219, 232, 250, 270, 288, 307, 326, 343, 361]"
HBA,83,125.63032370014116,"[348, 35]",33,"[348, 349, 331, 313, 293, 294, 295, 296, 297, 298, 299, 300, 301, 302, 303, 304, 305, 286, 268, 248, 230, 217, 198, 178, 161, 141, 125, 106, 88, 68, 49, 33, 34, 35]"
HBA,83,125.63032370014116,"[100, 280]",12,"[100, 101, 120, 136, 155, 173, 192, 211, 225, 243, 262, 281, 280]"
QPSO,83,122.62748830020428,"[0, 361]",38,"[0, 18, 19, 20, 21, 22, 23, 24, 25, 42, 59, 78, 97, 116, 133, 151, 169, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199, 200, 219, 232, 250, 270, 288, 307, 326, 343, 361]"
QPSO,83,122.62748830020428,"[348, 35]",33,"[348, 349, 350, 351, 352, 332, 333, 334, 335, 336, 337, 338, 339, 340, 341, 325, 305, 286, 268, 248, 230, 217, 198, 178, 161, 141, 125, 106, 88, 68, 49, 33, 34, 35]"
QPSO,83,122.62748830020428,"[100, 280]",12,"[100, 99, 118, 135, 153, 171, 190, 209, 223, 241, 242, 261, 280]"
PSO,83,124.33714119996876,"[0, 361]",38,"[0, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 45, 62, 63, 64, 65, 66, 67, 87, 105, 124, 140, 160, 177, 197, 198, 199, 200, 219, 232, 250, 270, 288, 307, 326, 343, 361]"
PSO,83,124.33714119996876,"[348, 35]",33,"[348, 349, 350, 351, 352, 332, 333, 334, 335, 336, 337, 338, 339, 340, 324, 304, 285, 267, 247, 248, 230, 217, 198, 178, 161, 141, 125, 106, 88, 68, 49, 33, 34, 35]"
PSO,83,124.33714119996876,"[100, 280]",12,"[100, 101, 120, 136, 155, 154, 172, 191, 210, 224, 242, 261, 280]"
GWO,83,126.65756660001352,"[0, 361]",38,"[0, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 45, 62, 82, 101, 120, 136, 155, 173, 192, 211, 225, 243, 262, 263, 264, 265, 266, 267, 268, 269, 270, 288, 307, 326, 343, 361]"
GWO,83,126.65756660001352,"[348, 35]",33,"[348, 349, 331, 313, 314, 315, 316, 317, 318, 319, 320, 321, 322, 323, 324, 325, 305, 286, 268, 248, 230, 217, 198, 178, 161, 141, 125, 106, 88, 68, 49, 33, 34, 35]"
GWO,83,126.65756660001352,"[100, 280]",12,"[100, 101, 120, 136, 155, 154, 172, 191, 210, 224, 242, 261, 280]"
ACO,83,1601.8659902999643,"[0, 361]",38,"[0, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 45, 62, 82, 101, 120, 136, 155, 173, 192, 211, 225, 243, 262, 281, 299, 300, 301, 302, 303, 304, 305, 306, 307, 326, 343, 361]"
ACO,83,1601.8659902999643,"[348, 35]",33,"[348, 349, 331, 313, 293, 294, 295, 296, 297, 298, 299, 300, 282, 263, 244, 226, 212, 193, 194, 174, 157, 138, 122, 102, 84, 64, 65, 66, 67, 48, 32, 33, 34, 35]"
ACO,83,1601.8659902999643,"[100, 280]",12,"[100, 101, 120, 136, 155, 173, 192, 211, 225, 243, 262, 281, 280]"
